nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
119	MainTask1_119	[C] Thiếu Nữ Bí Ẩn	Vị đại tiểu thư này đúng là không nói lý lẽ... Rõ ràng là bản thân không đúng, còn dám ra tay đánh người! Phải giáo huấn cô ta!	Cùng đối phó [FFFE0D]vị tiểu thư này[-]	Cùng đối phó [FFFE0D]vị tiểu thư này[-]	[url=goanddosomething:test, 403, 8200, 5180, gotofuben, 3, 1, 1]		70|81|82		118	120			3|1|1	1			1		Exp|20000;Gold|10000			1	1													
120	MainTask1_120	[C] Hỏi Cho Ra Lẽ	Khụ khụ, lúc nãy hình như hơi nặng tay, không biết có làm cô ấy bị thương không... hy vọng là không sao...	Xem tình hình [FFFE0D]cô nương[-] này	Xem tình hình [FFFE0D]cô nương[-] này	[url=clientnpcbyidx:test, 311]	[url=clientnpcbyidx:test, 311]	70|311	311	119	121	119						1	1	Exp|20000;Gold|10000;Item|1365|1			1	1													
121	MainTask1_121	[C] Đường Về Nhà	Cô nương này thật ngang ngạnh. Dù không muốn, nhưng tiện đường nên đưa cô ấy về nhà, chỉ mong Lạc Diệp Cốc đừng đóng cửa sớm.	Dẫn [FFFE0D]Thiếu Nữ Bí Ẩn[-] về nhà	Dẫn [FFFE0D]Thiếu Nữ Bí Ẩn[-] về nhà	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|312		120	122				1	1	121			Exp|20000;Gold|10000			1	1	[url=dialog:test, 120]												
122	MainTask1_122	[C] Tìm Nhà	Cô nương này thật phiền phức, ngay cả đường về nhà mà cũng nhầm, sao người nhà cô ấy lại để cô đi một mình thế này.	Dẫn [FFFE0D]Thiếu Nữ Bí Ẩn[-] tìm đường về nhà	Dẫn [FFFE0D]Thiếu Nữ Bí Ẩn[-] tìm đường về nhà	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|88|312	78|312	121	123				1	1	122			Exp|20000;Gold|10000			1	1	[url=dialog:test, 121]												
123	MainTask1_123	[C] Đến Thăm Hỏi	Đáng ghét! Cô nương này rõ ràng đang lãng phí thời gian của chúng ta! Đừng để ý tới cô ấy nữa, hãy mau đi gặp Mạnh Tri Thu thôi.	Bái kiến [FFFE0D]Mạnh Tri Thu[-]	Bái kiến [FFFE0D]Mạnh Tri Thu[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|88		122	124				1	1	123			Exp|20000;Gold|10000			1	1	[url=dialog:test, 122]												
124	MainTask1_124	[C] Chuyện Không Ngờ	Chuyện này thật trùng hợp... Cô nương đó là thiên kim của Mạnh Tri Thu... Hèn gì ghê gớm như vậy, nếu cô ấy mất tích thì sẽ rắc rối, mau đi tìm thôi!	Về tìm [FFFE0D]Tường Vi[-]	Về tìm [FFFE0D]Tường Vi[-]	[url=clientnpcbyidx:test, 77]	[url=clientnpcbyidx:test, 77]	70|77|88	70|77|88	123	125	123								Exp|20000;Gold|10000			1	1													
125	MainTask1_125	[C] Chờ Đợi	Nước hồ tuy trong nhưng lại chứa hàn khí ghê người. Dương huynh có nội công hộ thể cũng khó lòng ở lâu trong đó, mong huynh ấy sớm tìm được trâm cài tóc của Tường Vi cô nương.	[FFFE0D]Đợi[-] Dương Ảnh Phong về	[FFFE0D]Đợi[-] Dương Ảnh Phong về	[url=taskitem:test, $T]	[url=taskitem:test, $T]	77|230	77|230	124	126				1	1	125			Exp|20000;Gold|10000			1	1	[url=dialog:test, 124]												
126	MainTask1_126	[C] Lại Đến Thăm	Đại tiểu thư cuối cùng đã chịu theo chúng ta về, xem ra cô ấy có thiện cảm với Dương huynh.	Dẫn [FFFE0D]Tường Vi[-] trở về gặp Mạnh Tri Thu	Dẫn [FFFE0D]Tường Vi[-] trở về gặp Mạnh Tri Thu	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|78|103	70|78|103	125	127	125								Exp|20000;Gold|10000			1	1													
127	MainTask1_127	[C] Kết Thúc Ân Oán	Xem ra trận chiến này khó tránh khỏi, ân oán hơn chục năm của hai nhà, mong không kết thúc như lúc trước...	Xem [FFFE0D]hai người họ[-] tỉ võ	Xem [FFFE0D]hai người họ[-] tỉ võ	[url=gotofuben:test, 3, 2, 1]		104	104	126	128			3|2|1	1			1		Exp|20000;Gold|10000			1														
128	MainTask1_128	[C] Mất Tích	Mạnh đại hiệp quả nhiên danh bất hư truyền, Dương huynh lại bị đánh bại dễ dàng như vậy! Xem ra ta phải cố gắng luyện võ công thôi!	Từ biệt [FFFE0D]Mạnh Tri Thu[-]	Từ biệt [FFFE0D]Mạnh Tri Thu[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|89|103	103	127	129	127						1	1	Exp|20000;Gold|10000;Item|1073|1			1	1													
129	MainTask1_129	[C] Rời Khỏi	Cuối cùng cũng về đến Bi Ma Sơn Trang, không biết thế lực Dương huynh gầy dựng mấy tháng nay thế nào rồi!	Quay về gặp [FFFE0D]Nạp Lan Chân[-]	Quay về gặp [FFFE0D]Nạp Lan Chân[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|89|104	104	128	130				1	1	127			Exp|20000;Gold|10000			1	1	[url=dialog:test, 126]												
130	MainTask1_130	[C] Ra Sức Tìm Kiếm	Không chút dấu vết, rốt cuộc ai đã bắt Nạp Lan cô nương đi mất? Mục đích của họ là gì? Chẳng lẽ là Tử Hiên cô nương?	Đến [FFFE0D]gần đó[-] tìm manh mối	Đến [FFFE0D]gần đó[-] tìm manh mối	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|89|90	89	129	131				1	1	129			Exp|20000;Gold|10000			1	1	[url=dialog:test, 128]												
131	MainTask1_131	[C] Đến Thăm Hỏi	Không ngờ người cướp Nạp Lan cô nương đi lại là người của Phi Long Bảo, xem ra Nguyệt My Nhi cô nương muốn dùng Nạp Lan cô nương làm con tin, ép Dương huynh làm theo yêu cầu, không biết huynh ấy sẽ lựa chọn thế nào...	Đến [FFFE0D]Phi Long Bảo[-]	Đến [FFFE0D]Phi Long Bảo[-] chất vấn	[url=pos:test,403,7410,14820]	[url=pos:test,403,7410,14820]	70|90	90	130	132				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 129]				494								
132	MainTask1_132	[C] Đòn Phủ Đầu	Phi Long Bảo quả nhiên bảo vệ nghiêm ngặt, các đệ tử đều được huấn luyện nghiêm khắc, e là không dễ đối phó!	Vào [FFFE0D]Phi Long Bảo[-] chất vấn Nguyệt My Nhi	Vào [FFFE0D]Phi Long Bảo[-] chất vấn Nguyệt My Nhi	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|91	91	131	133				1	1	130			Exp|20000;Gold|10000			1	1													
133	MainTask1_133	[C] Thể Hiện	Hừ! Chỉ có đám người này thì không cản được ta! Ta phải xem Phi Long Bảo rốt cuộc có thực lực thế nào!	Đánh lui [FFFE0D]Đệ Tử Phi Long Bảo[-]	Đánh lui [FFFE0D]Đệ Tử Phi Long Bảo[-]	[url=npcanddosomething:test, 1245, 494, autofight, 1]		70		132	134				1					Exp|20000;Gold|100000	1245|6	1	1	1													
134	MainTask1_134	[C] Chẳng Đạt Được Gì	Phi Long Bảo quả nhiên danh bất hư truyền! Tiếp theo hãy xem thử đại tổng quản của Phi Long Bảo có bản lĩnh gì!	Tìm [FFFE0D]Lư Triệu Hạo[-] tranh luận	Tìm [FFFE0D]Lư Triệu Hạo[-] tranh luận	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|120		133	135				1	1	132			Exp|20000;Gold|10000			1	1	[url=dialog:test, 131]												
135	MainTask1_135	[C] Tìm Manh Mối	Xem ra Quản Gia Phi Long Bảo không nói dối, lẽ nào không phải người của Phi Long Bảo bắt đi! Chẳng lẽ Tử Hiên lừa chúng ta?	Chuẩn bị rời [FFFE0D]Phi Long Bảo[-]	Chuẩn bị rời [FFFE0D]Phi Long Bảo[-]	[url=pos:test,494,6580,9180]	[url=pos:test,494,6580,9180]	70|92|120	92	134	136				1					Exp|20000;Gold|10000			1	1					403								
136	MainTask1_136	[C] Kết Thúc Ân Oán	Xem ra trận chiến này khó tránh khỏi, ân oán hơn chục năm của hai nhà, mong không kết thúc như lúc trước...	Quay lại [FFFE0D]Bi Ma Sơn Trang[-]	Quay lại [FFFE0D]Bi Ma Sơn Trang[-]	[url=goanddosomething:test, 403, 15500, 11140, gotofuben, 3, 3, 1]		70|94|120	94|120	135	137			3|3|1	1			1		Exp|20000;Gold|10000			1	1													
137	MainTask1_137	[C] Tái Ngộ Tường Vi	Người của Phi Long Bảo bắt Tường Vi cô nương, chuyện này là sao?	Hỏi [FFFE0D]Tường Vi[-] chuyện gì đã xảy ra?	Hỏi [FFFE0D]Tường Vi[-] chuyện gì đã xảy ra?	[url=clientnpcbyidx:test, 231]	[url=clientnpcbyidx:test, 231]	70|231	231	136	138	6135								Exp|20000;Gold|10000			1	1													
138	MainTask1_138	[C] Đáng Ngờ	Chuyện này rất lạ, cho dù Nguyệt My Nhi có thù với Dương huynh nhưng cũng không đến mức đắc tội Mạnh Tri Thu, chắc chắn có vấn đề. Hãy dẫn Tường Vi cô nương về tìm Mạnh Tri Thu!	Dẫn Tường Vi về tìm [FFFE0D]Mạnh Tri Thu[-]	Dẫn Tường Vi về tìm [FFFE0D]Mạnh Tri Thu[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103|232	103|232	137	139	6137						1	1	Exp|20000;Gold|10000;Item|212|5;ComposeValue|1|7			1	1													
139	MainTask1_139	[C] Tiếp Tục Tấn Tới	Quái lạ! Chẳng lẽ Nguyệt cô nương biết Tường Vi cô nương thích Dương huynh, nên mới bắt cóc Tường Vi cô nương? Nhưng... Chẳng lẽ Nguyệt cô nương cũng thích Dương huynh?	Xem [FFFE0D]Nạp Lan cô nương[-] về chưa	Xem [FFFE0D]Nạp Lan cô nương[-] về chưa	[url=pos:test,403,3030,8240]	[url=pos:test,403,3030,8240]	70|234	234	138	140				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 6138]				498								
140	MainTask1_140	[C] Ngọc Quý Trên Tay	Thiết Vân Quản Gia có vẻ vội vã, chẳng lẽ có chuyện gì? Mau đi hỏi thử!	Hỏi [FFFE0D]Thiết Vân[-] có chuyện gì	Hỏi [FFFE0D]Thiết Vân[-] có chuyện gì	[url=clientnpcbyidx:test, 233]	[url=clientnpcbyidx:test, 233]	70|233|248	233	139	141	6139								Exp|20000;Gold|10000			1	1													
141	MainTask1_141	[C] Cải Tử Hoàn Sinh	Rốt cuộc là đi gặp ai? Chẳng lẽ... Trác Phi Phàm còn sống? Đây đều là âm mưu của hắn? Không thể nào! Lúc đó Dương huynh rõ ràng đã...Đi xem thử rồi tính.	Đến [FFFE0D]Lăng Tuyệt Phong[-]	Đến [FFFE0D]Lăng Tuyệt Phong[-]	[url=goanddosomething:test, 498, 1800, 3000, gotofuben, 3, 4, 1]		70|234|248	234	140	142			3|4|1	1			1		Exp|20000;Gold|10000			1	1													
142	MainTask1_142	[C] Biến Cố Đáng Sợ	Quả nhiên Nạp Lan cô nương đã đi cùng Nguyệt cô nương, nhưng cô ấy rất tốt với Nguyệt My Nhi cô nương, không có vẻ gì là bị bắt đi, hỏi thử xem sao!	Hỏi [FFFE0D]Nạp Lan Chân[-] có việc gì xảy ra	Hỏi [FFFE0D]Nạp Lan Chân[-] có việc gì xảy ra	[url=clientnpcbyidx:test, 85]	[url=clientnpcbyidx:test, 85]	70|85|248	85|248	141	143	134						1	1	Exp|20000;Gold|10000;Item|1258|1			1	1													
143	MainTask1_143	[C] Diệu Thủ Thần Y	Nguyệt cô nương bị thương khá nặng, e rằng chỉ có Hồ Thần Y mới cứu được, mau đưa nàng về Vong Ưu Đảo!	Dẫn Nguyệt My Nhi đi tìm [FFFE0D]Hồ Thần Y[-]	Dẫn Nguyệt My Nhi đi tìm [FFFE0D]Hồ Thần Y[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	70|86|95	86|95	142	144	135	417							Exp|20000;Gold|10000			1	1													
144	MainTask1_144	[C] Có Việc Cầu Cứu	Công lực trời ban... E rằng trên đời ngoài vài vị tiền bối quá cố, chỉ có Mạnh Tri Thu có được công lực này, hy vọng hắn ta sẽ đồng ý giúp đỡ!	Tìm [FFFE0D]Mạnh Tri Thu[-] giúp đỡ	Tìm [FFFE0D]Mạnh Tri Thu[-] giúp đỡ	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103	103	143	145	136								Exp|20000;Gold|10000			1	1	[url=dialog:test, 6136]												
145	MainTask1_145	[C] Ngọc Quý Trên Tay	Không ngờ Mạnh Tri Thu lại có yêu cầu này, xem ra hắn ta rất chiều con gái, chẳng trách Tường Vi cô nương lại ngang ngược đến thế, hy vọng lần này cô ấy có thể giúp chúng ta!	Tìm [FFFE0D]Tường Vi[-] giúp đỡ	Tìm [FFFE0D]Tường Vi[-] giúp đỡ	[url=clientnpcbyidx:test, 79]	[url=clientnpcbyidx:test, 79]	70|79	79|	144	146	137								Exp|20000;Gold|10000			1	1													
146	MainTask1_146	[C] Cách Ứng Đối	Được Tường Vi cô nương giúp đỡ, Mạnh Tri Thu sẽ nể tình giúp chúng ta thôi?	Cầu cứu [FFFE0D]Mạnh Tri Thu[-] lần nữa	Cầu cứu [FFFE0D]Mạnh Tri Thu[-] lần nữa	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|80|103	80|103	145	147	138								Exp|20000;Gold|10000			1	1													
147	MainTask1_147	[C] Yên Lặng Chờ Đợi	Không biết tình hình bên trong ra sao, nếu Nguyệt My Nhi không thể cứu được, e rằng sẽ trở thành cơn ác mộng của Dương huynh!	Đứng chờ [FFFE0D]Tường Vi[-] ra	Đứng chờ [FFFE0D]Tường Vi[-] ra	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|234	234	146	148				1	1	140			Exp|20000;Gold|10000			1	1	[url=dialog:test, 139]												
148	MainTask1_148	[C] Trở Lại Vong Ưu	Thật may, tất cả đều thuận lợi. Giờ chỉ cần tìm Ngân Ti Thảo cho Nguyệt cô nương là được, hi vọng Nạp Lan cô nương đã tìm đủ!	Dẫn Nguyệt My Nhi tìm [FFFE0D]Nạp Lan Chân[-]	Dẫn Nguyệt My Nhi tìm [FFFE0D]Nạp Lan Chân[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	70|76	70|76	147	149	140	418							Exp|20000;Gold|10000			1	1													
149	MainTask1_149	[C] Chờ Đợi	Nguyệt My Nhi cô nương tính cách mạnh mẽ, chắc sẽ không sao, nhưng cảm giác như Nguyệt cô nương và Nạp Lan cô nương hơi giống nhau, lẽ nào ta quá nhạy cảm?	Giao dược liệu cho [FFFE0D]Hồ Thần Y[-]	Giao dược liệu cho [FFFE0D]Hồ Thần Y[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66	66	148	150	6140	417							Exp|20000;Gold|10000			1	1													
150	MainTask1_150	[C] Thăm Dò Ý Đồ	Nạp Lan Cô Nương trông có vẻ buồn phiền, đến hỏi thử có chuyện gì.	Hỏi thăm [FFFE0D]Nạp Lan Cô Nương[-]	Hỏi thăm [FFFE0D]Nạp Lan Cô Nương[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66|235	66	149	151	141	418							Exp|20000;Gold|10000			1	1													
151	MainTask1_151	[C] Thân Thế Thiếu Nữ	Thì ra Nguyệt cô nương và Nạp Lan cô nương là tỷ muội cùng mẹ khác cha... Không biết vết thương của Nguyệt cô nương sao rồi...	Đi thăm [FFFE0D]Nguyệt My Nhi[-]	Đi thăm [FFFE0D]Nguyệt My Nhi[-]	[url=clientnpcbyidx:test, 235]	[url=clientnpcbyidx:test, 235]	66|235	66	150	152	142								Exp|20000;Gold|10000			1	1													
152	MainTask1_152	[C] Đến Nghênh Đón	Quái lạ! Nạp Lan cô nương sao mãi vẫn không thấy về, chẳng lẽ đã xảy ra chuyện gì rồi sao? Mau đi xem thử coi sao!	Xem [FFFE0D]Nạp Lan Chân[-] sao vẫn chưa về	Xem [FFFE0D]Nạp Lan Chân[-] sao vẫn chưa về	[url=taskitem:test, $T]	[url=taskitem:test, $T]	66|235		151	153				1	1	144			Exp|20000;Gold|10000			1	1	[url=dialog:test, 143]												Task_2
153	MainTask1_153	[C] Kẻ Gian Nịnh	Nạp Lan cô nương bị trọng thương rồi, hãy hỏi xem là do ai làm!	Hỏi [FFFE0D]Nạp Lan Chân[-] xảy ra chuyện gì	Hỏi [FFFE0D]Nạp Lan Chân[-] xảy ra chuyện gì	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66|235		152	154	144	418							Exp|20000;Gold|10000			1	1	[url=openwnd:test, ChapterPanel, "ChapterTitle_03"]												
154	MainTask1_154	[C] Thối Nát	Không ngờ Mạnh Tri Thu lại vô liên sỉ đến thế! Vì「Võ Đạo Đức Kinh」mà ra tay với một cô gái yếu đuối! Ta phải tìm hắn hỏi cho ra lẽ!	Chất vấn [FFFE0D]Mạnh Tri Thu[-]	Chất vấn [FFFE0D]Mạnh Tri Thu[-]	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|100|103	100|103|235	153	155	145								Exp|20000;Gold|10000			1	1													
155	MainTask1_155	[C] Chân Tướng	Thiên Tinh Đạo Trưởng là thủ lĩnh chính phái võ lâm công nhận, chứng cứ chắc chắn không thể giả, hãy tìm Thiên Tinh Đạo Trưởng hỏi rõ!	Tìm [FFFE0D]Thiên Tinh Đạo Trưởng[-] hỏi rõ	Tìm [FFFE0D]Thiên Tinh Đạo Trưởng[-] hỏi rõ	[url=clientnpcbyidx:test, 101]	[url=clientnpcbyidx:test, 101]	70|78|101|104	101|104	154	156	146								Exp|20000;Gold|10000			1	1													
156	MainTask1_156	[C] Khó Bề Phân Biệt	Việc này rất kỳ lạ, trước tiên đến Vong Ưu Đảo xem vết thương của Nạp Lan cô nương, sẵn tiện hỏi xem có manh mối gì.	Về [FFFE0D]Vong Ưu Đảo[-] gặp Nạp Lan Chân	Về [FFFE0D]Vong Ưu Đảo[-] gặp Nạp Lan Chân	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|78|102|109	102	155	157				1	1	148			Exp|20000;Gold|10000			1	1	[url=dialog:test, 147]												
157	MainTask1_157	[C] Lại Có Bất Ngờ	Quái lạ! Tử Hiên cô nương sao lại xuất hiện ở đây? Đi hỏi cô ấy xem đã xảy ra chuyện gì!	Hỏi [FFFE0D]Tử Hiên[-] sao lại ở đây	Hỏi [FFFE0D]Tử Hiên[-] sao lại ở đây	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|78|92|109		156	158				1	1	149			Exp|20000;Gold|10000			1	1	[url=dialog:test, 148]												
158	MainTask1_158	[C] Đa Mưu Túc Trí	Không ngờ lại như thế... Nạp Lan đảo chủ lại là người có dã tâm... Không biết Dương huynh có dự tính gì.	Hãy về [FFFE0D]Vong Ưu Đảo[-] xem sao	Hãy về [FFFE0D]Vong Ưu Đảo[-] xem sao	[url=pos:test,403,9450,3240]	[url=pos:test,403,9450,3240]	70|78|92|109	92	157	159				1					Exp|20000;Gold|10000			1	1					1000								
159	MainTask1_159	[C] Tìm Hiểu Sự Thật	Chuyện nghe có vẻ đáng tin nhưng không tận mắt nhìn thấy, hãy đến cấm địa Vô Ưu Giáo, xem thực hư thế nào!	Đến [FFFE0D]Cấm Địa Vô Ưu Giáo[-]	Đến [FFFE0D]Cấm Địa Vô Ưu Giáo[-]	[url=pos:test,1000,8950,5150]	[url=pos:test,1000,8950,5150]	66|109		158	160				1		152			Exp|20000;Gold|10000			1	1	[url=dialog:test, 151]				495								
160	MainTask1_160	[C] Vô Ưu Cấm Địa	Từ lúc chia tay đến nay khá lâu. Cảnh còn đây, mà người nơi đâu, vào trong xem nào!	Đánh lui [FFFE0D]Vô Ưu Hộ Pháp[-]	Đánh lui [FFFE0D]Vô Ưu Hộ Pháp[-]	[url=npcanddosomething:test,1147,495,autofight,1]		66|109|239|240	66|109	159	161				1					Exp|20000;Gold|10000	1147|3	1	1	1	[url=dialog:test,152]												
161	MainTask1_161	[C] Cứu Mỹ Nhân	Họ chắc đang ở Cấm Địa Vô Ưu Giáo, ta phải vào đó cứu họ ra!	Vào [FFFE0D]Cấm Địa Vô Ưu[-] cứu người	Vào [FFFE0D]Cấm Địa Vô Ưu[-] cứu người	[url=goanddosomething:test,495,10000,5400,gotofuben,3,5,1]		239|240	239|240	160	162			3|5|1	1			1		Exp|20000;Gold|10000			1	1													
162	MainTask1_162	[C] Chẳng Biết Làm Sao	Nạp Lan Tiềm Lẫm quả nhiên quỷ kế đa đoan! Không ngờ y là người như vậy! Hãy hỏi Dương huynh tiếp theo nên làm thế nào!	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 241]	[url=clientnpcbyidx:test, 241]	241	241	161	163	155						1	1	Exp|20000;Gold|10000;Item|1033|1;ComposeValue|1|8			1	1													
163	MainTask1_163	[C] Tạm Thời Rút Lui	Dương huynh nói đúng lắm, chúng ta vẫn đang trong doanh trại của Vô Ưu Giáo, hãy thoát khỏi đây đã, nếu không chút nữa e là khó mà thoát thân!	Hãy [FFFE0D]rời khỏi nơi này[-] rồi tính tiếp	Hãy [FFFE0D]rời khỏi nơi này[-] rồi tính tiếp	[url=taskitem:test, $T]	[url=taskitem:test, $T]	242		162	164				1	1	157			Exp|20000;Gold|10000			1	1	[url=dialog:test, 156]												
164	MainTask1_164	[C] Lại Thắng Vô Ưu	Có mai phục! Đám người Vô Ưu Giáo này thật kỳ lạ, rõ biết không giữ được chúng ta vậy mà không biết sợ là gì!	Đánh bại [FFFE0D]Vô Ưu Giáo Hộ Pháp[-]	Đánh bại [FFFE0D]Vô Ưu Giáo Hộ Pháp[-]	[url=npcanddosomething:test, 1147, 495, autofight, 1]		242		163	165				1					Exp|20000;Gold|10000	1147|3	1	1	1	[url=dialog:test, 158]												
165	MainTask1_165	[C] Ngán Ngẩm	Đáng ghét! Đây là bẫy, nếu đi thì trúng kế của chúng, không đi thì....họ lại.... Ôi, phải hỏi Dương huynh vậy!	Phải mau [FFFE0D]rời khỏi đây[-]	Phải mau [FFFE0D]rời khỏi đây[-]	[url=pos:test,495,1500,5100]	[url=pos:test,495,1500,5100]	242	242	164	166				1					Exp|20000;Gold|10000			1	1					403								
166	MainTask1_166	[C] Mong Được Trợ Giúp	Nếu có Mạnh đại hiệp giúp đỡ, lại tập hợp thêm một số đại hiệp võ công cao cường, nhất định có thể diệt Vô Ưu Giáo!	Tìm [FFFE0D]Mạnh Tri Thu[-] giúp đỡ	Tìm [FFFE0D]Mạnh Tri Thu[-] giúp đỡ	[url=clientnpcbyidx:test, 103]	[url=clientnpcbyidx:test, 103]	70|103	103	165	167	159								Exp|20000;Gold|10000			1	1													
167	MainTask1_167	[C] Việc Ngoài Ý Muốn	Không ngờ Mạnh đại hiệp cũng... Nạp Lan Tiềm Lẫm ra tay độc ác, thật đáng sợ! Cho dù thế nào, cũng phải cứu họ ra!	Đến [FFFE0D]Trích Tinh Lâu[-] cứu người	Đến [FFFE0D]Trích Tinh Lâu[-] cứu người	[url=pos:test,403,15430,11100]	[url=pos:test,403,15430,11100]	104	104	166	168				1					Exp|20000;Gold|10000			1	1					496								
168	MainTask1_168	[C] Vô Ưu Tử Sĩ	Không biết họ đang bị giam ở đâu, nơi này rất nguy hiểm, hãy nhanh chóng tìm họ. Dù sao giờ cũng chưa có cách gì khác, chi bằng tra hỏi những người này.	Diệt [FFFE0D]Vô Ưu Tử Sĩ[-]	Diệt [FFFE0D]Vô Ưu Tử Sĩ[-]	[url=npcanddosomething:test, 1148, 496, autofight, 1]				167	169				1					Exp|20000;Gold|10000	1148|3	1	1	1	[url=dialog:test, 161]												
169	MainTask1_169	[C] Ngàn Dặm Bôn Ba	Không ngờ ở nơi này lại biết được thông tin Tử Hiên cô nương bị giam cầm, hãy cứu cô ấy ra trước!	Vào trong [FFFE0D]Trích Tinh Lâu[-]	Vào trong [FFFE0D]Trích Tinh Lâu[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]			168	170				1	1	163			Exp|20000;Gold|10000			1	1													
170	MainTask1_170	[C] Ngoài Dự Đoán	Quái lạ! Đệ Tử Vô Ưu Giáo trước kia dũng cảm bao nhiêu thì bọn người xưng là Vô Ưu Giáo Tử Sĩ này lại nhát gan bấy nhiêu. Hừm, cứu Tử Hiên rồi tính tiếp!	Cứu [FFFE0D]Tử Hiên[-] bị bắt nhốt	Cứu [FFFE0D]Tử Hiên[-] bị bắt nhốt	[url=goanddosomething:test, 496, 9000, 10600, gotofuben, 3, 6, 1]				169	171			3|6|1	1			1		Exp|20000;Gold|10000			1	1													
171	MainTask1_171	[C] Dò Hỏi Tung Tích	Tử Hiên xem ra không bị thương, hy vọng cô ấy biết Nạp Lan cô nương và Nguyệt cô nương ở đâu!	Hỏi [FFFE0D]Tử Hiên[-] họ ở đâu	Hỏi [FFFE0D]Tử Hiên[-] họ ở đâu	[url=clientnpcbyidx:test, 243]	[url=clientnpcbyidx:test, 243]	243	243	170	172	164						1	1	Exp|20000;Gold|10000;Item|1093|1			1	1													
172	MainTask1_172	[C] Hộ Hoa Sứ Giả	Mới thoát một bẫy lại thêm bẫy khác, hy vọng cứu được họ!	Hãy đưa [FFFE0D]Tử Hiên[-] thoát khỏi đây	Hãy đưa [FFFE0D]Tử Hiên[-] thoát khỏi đây	[url=taskitem:test, $T]	[url=taskitem:test, $T]	244	244	171	173				1	1	166			Exp|20000;Gold|10000			1	1	[url=dialog:test, 165]												
173	MainTask1_173	[C] Bôn Ba Khắp Chốn	Không ngờ tam đại thế lực thiên hạ gồm「Phi Long Bảo」,「Tàng Kiếm Sơn Trang」,「Bi Ma Sơn Trang」đều bị Vô Ưu Giáo đánh chiếm, Nạp Lan Tiềm Lẫm ẩn náu đã lâu, khi bộc phát xem ra rất nguy hiểm!	Đến [FFFE0D]Phi Long Bảo[-] xem sao	Đến [FFFE0D]Phi Long Bảo[-] xem sao	[url=pos:test,496,1080,3700]	[url=pos:test,496,1080,3700]	245|258	245	172	174				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 166]				497								
174	MainTask1_174	[C] Hi Vọng	Ở gần đây có nhiều địch tuần tra. Hình như phía trước có chuyện gì đó, không ít người Vô Ưu Giáo tụ tập lại, chuyện gì thế nhỉ?	Diệt [FFFE0D]Vô Ưu Tinh Nhuệ[-] cứu người	Diệt [FFFE0D]Vô Ưu Tinh Nhuệ[-] cứu người	[url=npcanddosomething:test, 1248, 497, autofight, 1]		258		173	175				1					Exp|20000;Gold|10000	1248|6	1	1	1	[url=dialog:test, 167]												
